,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
751842,556792,22543,MINI JIGSAW BAKE A CAKE ,10,2011-06-14 13:52:00,0.42,17043.0,United Kingdom
709153,552667,22679,FRENCH BLUE METAL DOOR SIGN 4,1,2011-05-10 15:05:00,2.46,,United Kingdom
479480,534389,20969,RED FLORAL FELTCRAFT SHOULDER BAG,1,2010-11-22 13:02:00,7.62,,United Kingdom
389360,526859,22421,LIPSTICK PEN FUSCHIA,12,2010-10-13 13:01:00,0.42,14021.0,United Kingdom
771700,558684,22609,PENS ASSORTED SPACEBALL,36,2011-07-01 11:29:00,0.19,14016.0,EIRE
583265,541219,10125,MINI FUNKY DESIGN TAPES,5,2011-01-14 14:06:00,0.79,,United Kingdom
539569,537459,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,2010-12-07 09:57:00,0.85,17470.0,United Kingdom
1025220,578688,22727,ALARM CLOCK BAKELIKE RED ,2,2011-11-25 09:27:00,3.75,16719.0,United Kingdom
47420,493812,90057,DIAMANTE RING ASSORTED IN BOX.,24,2010-01-07 11:52:00,1.25,13081.0,United Kingdom
32986,492098,82486,WOOD S/3 CABINET ANT WHITE FINISH,6,2009-12-15 14:05:00,7.95,16749.0,United Kingdom
218231,510549,22023,EMPIRE BIRTHDAY CARD,12,2010-06-01 16:06:00,0.42,13719.0,United Kingdom
753263,556905,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,2011-06-15 13:05:00,0.65,16904.0,United Kingdom
919915,570872,22161,HEART DECORATION RUSTIC HANGING ,2,2011-10-12 16:40:00,0.79,,United Kingdom
55061,494384,71270,PHOTO CLIP LINE,12,2010-01-14 08:30:00,1.25,16304.0,United Kingdom
927372,571445,23660,HENRIETTA HEN MUG ,12,2011-10-17 13:44:00,1.65,12463.0,Belgium
386228,526503,21624,VINTAGE UNION JACK DOORSTOP,3,2010-10-12 10:24:00,5.95,15696.0,United Kingdom
557535,539040,85066,CREAM SWEETHEART MINI CHEST,2,2010-12-15 15:14:00,12.75,17214.0,United Kingdom
174728,505965,20751,FUNKY WASHING UP GLOVES ASSORTED,1,2010-04-26 15:43:00,2.1,16242.0,United Kingdom
242309,512818,22084,PAPER CHAIN KIT EMPIRE,6,2010-06-18 11:31:00,2.95,13293.0,United Kingdom
506315,536623,84674,FLYING PIG WATERING CAN,6,2010-12-02 10:39:00,2.95,15601.0,United Kingdom
